S_min,#C_min_0,#C_min_1,#C_min_2,#C_min_3,#C_min_4,#C_min_5,#C_min_6
0.290000,-65.865576,-63.232388,-60.646393,-58.132886,-55.589150,-52.685267,-nan
0.300000,-65.972139,-63.325137,-60.729778,-58.211377,-55.659995,-52.808838,-nan
0.310000,-66.087750,-63.422411,-60.821644,-58.301464,-55.749104,-nan,-nan
0.320000,-66.208772,-63.530113,-60.917974,-58.395072,-55.839214,-nan,-nan
0.330000,-66.332851,-63.643548,-61.022373,-58.497108,-55.933228,-54.122785,-nan
0.340000,-66.466832,-63.763177,-61.134022,-58.603517,-56.040619,-53.758748,-nan
0.350000,-66.610280,-63.887452,-61.252051,-58.719436,-56.144831,-53.350915,-nan
0.360000,-66.755978,-64.024857,-61.381341,-58.842735,-56.263836,-53.816425,-nan
0.370000,-66.906775,-64.166160,-61.515464,-58.973464,-56.393212,-54.504500,-nan
0.380000,-67.065906,-64.316961,-61.659883,-59.115003,-56.533897,-54.089087,-nan
0.390000,-67.242861,-64.475286,-61.811555,-59.259443,-56.665137,-nan,-nan
0.400000,-67.417637,-64.645551,-61.973025,-59.420195,-56.832873,-53.948179,-nan
0.410000,-67.602407,-64.817876,-62.143123,-59.586482,-56.996332,-55.795688,-nan
0.420000,-67.793233,-65.001576,-62.325251,-59.760782,-57.164159,-55.533082,-nan
0.430000,-67.988726,-65.196728,-62.514468,-59.947610,-57.340326,-nan,-nan
0.440000,-68.193042,-65.397923,-62.712261,-60.138859,-57.535240,-56.214146,-nan
0.450000,-68.408662,-65.610746,-62.922546,-60.349021,-57.741913,-55.045767,-nan
0.460000,-68.631933,-65.833583,-63.138814,-60.563624,-57.950554,-nan,-nan
0.470000,-68.863258,-66.067421,-63.370955,-60.789968,-58.185216,-nan,-nan
0.480000,-69.101557,-66.304118,-63.612667,-61.030864,-58.413136,-55.931862,-nan
0.490000,-69.347219,-66.549272,-63.863129,-61.268216,-58.659771,-nan,-nan
0.500000,-69.600224,-66.813464,-64.125934,-61.535584,-58.915974,-nan,-nan
0.510000,-69.870519,-67.089061,-64.398089,-61.803647,-59.194328,-nan,-nan
0.520000,-70.139279,-67.371861,-64.683980,-62.094955,-59.487562,-nan,-nan
0.530000,-70.406774,-67.657712,-64.980417,-62.380911,-59.798202,-nan,-nan
0.540000,-70.703614,-67.963648,-65.287194,-62.695699,-60.089023,-nan,-nan
0.550000,-70.999301,-68.271175,-65.605729,-63.012213,-60.402867,-nan,-nan
0.560000,-71.317913,-68.594382,-65.943770,-63.337965,-60.652615,-nan,-nan
0.570000,-71.624602,-68.926384,-66.281795,-63.690915,-61.084471,-nan,-nan
0.580000,-71.950228,-69.281697,-66.633539,-64.051214,-61.431371,-nan,-nan
0.590000,-72.296525,-69.636761,-66.994990,-64.452529,-61.805160,-nan,-nan
0.600000,-72.660941,-70.006168,-67.378404,-64.774131,-62.131890,-nan,-nan
0.610000,-73.010434,-70.385538,-67.764534,-65.219908,-62.462116,-nan,-nan
0.620000,-73.390302,-70.768345,-68.172083,-65.598877,-63.102353,-nan,-nan
0.630000,-73.769537,-71.168527,-68.602616,-66.038437,-63.730745,-nan,-nan
0.640000,-74.171978,-71.584611,-69.009348,-66.383906,-64.111648,-nan,-nan
0.650000,-74.576631,-72.026035,-69.465888,-67.000608,-nan,-nan,-nan
0.660000,-75.000582,-72.436586,-69.881657,-67.468153,-nan,-nan,-nan
0.670000,-75.432694,-72.906688,-70.345888,-67.710488,-nan,-nan,-nan
0.680000,-75.845125,-73.352015,-70.813705,-68.237516,-nan,-nan,-nan
